id,nombre,ingreso_mensual,nivel_endeudamiento,frecuencia_ahorro,perfil_financiero
85,Luis Miguel,2588.44,24.45,Media,En observacion
86,Cebrián,2638.14,23.24,Media,En observacion
87,Rita,4053.62,21.81,Media,Saludable
88,Joan,3731.45,21.04,Media,Saludable
89,Roxana,4605.24,20.63,Media,Saludable
90,Cosme,3152.75,22.83,Baja,En observacion
91,Ricardo,1918.58,28.65,Media,En riesgo
92,Leopoldo,3996.36,19.98,Media,Saludable
93,Wilfredo,4162.75,18.59,Media,Saludable
94,Fabiola,3464.47,20.97,Baja,En observacion
95,Perlita,4198.39,20.69,Baja,En observacion
96,Pánfilo,3228.28,19.53,Media,Saludable
97,Fermín,3329.56,21.87,Media,Saludable
98,Raimundo,2996.39,23.37,Media,En observacion
99,Pedro,1588.97,30.52,Media,En riesgo
100,Hugo,1877.62,27.71,Media,En riesgo
101,Herminia,1610.0,31.75,Media,En riesgo
102,Juanito,3727.44,19.85,Baja,En observacion
103,Judith,2600.25,24.47,Media,En observacion
104,Isabela,3280.0,21.08,Baja,En observacion
105,Flora,4676.48,18.45,Baja,En observacion
106,Calixto,2372.52,25.55,Baja,En observacion
107,Emelina,2936.34,23.53,Media,En observacion
108,Fabiola,4144.43,19.98,Media,Saludable
109,Francisco Javier,2300.79,26.12,Media,En riesgo
110,Bibiana,1769.43,30.79,Media,En riesgo
111,Luisina,2514.13,22.51,Media,En observacion
112,Jose Ignacio,2064.27,28.24,Media,En riesgo
113,Fernando,4753.94,17.04,Baja,En observacion
114,Óscar,4328.42,20.18,Media,Saludable
115,Reynaldo,3716.91,20.34,Media,Saludable
116,Julián,4550.11,18.78,Baja,En observacion
117,Ángela,4312.85,20.31,Media,Saludable
118,Felicidad,2153.0,27.25,Media,En riesgo
119,Javiera,4623.96,21.28,Media,Saludable
120,Cecilia,3387.7,22.54,Media,En observacion
121,Isidoro,4326.04,18.6,Baja,En observacion
122,Isidora,4636.32,17.52,Media,Saludable
123,Moreno,2613.01,23.88,Baja,En observacion
124,Pía,1885.18,29.6,Media,En riesgo
125,María Jesús,2297.77,26.89,Media,En riesgo
126,Maura,2994.88,24.34,Baja,En observacion
127,Basilio,4363.05,20.84,Media,Saludable
128,Jenaro,4512.56,20.73,Baja,En observacion
129,Paca,1524.33,32.14,Media,En riesgo
130,Amílcar,3287.62,20.11,Baja,En observacion
131,Noa,2960.94,22.45,Baja,En observacion
132,Maximiano,2277.38,25.08,Baja,En observacion
133,Salvador,1919.53,28.06,Media,En riesgo
134,Julio,2681.65,21.88,Media,Saludable
135,Blas,4800.18,18.68,Media,Saludable
136,Héctor,2631.21,25.98,Media,En observacion
137,Xiomara,3315.77,21.16,Baja,En observacion
138,Claudia,3960.57,20.7,Baja,En observacion
139,Sarita,2772.7,23.21,Media,En observacion
140,Lina,4901.24,16.83,Baja,En observacion
141,Maxi,4868.57,18.96,Media,Saludable
142,Ibán,2381.24,24.71,Media,En observacion
143,Gabriela,3240.37,20.83,Media,Saludable
144,Angelina,2553.07,23.66,Baja,En observacion
145,Ruy,2496.94,24.33,Baja,En observacion
146,Soledad,1629.1,30.29,Media,En riesgo
147,Yaiza,3633.48,21.87,Media,Saludable
148,Fernanda,3259.38,21.42,Media,Saludable
149,Álvaro,1680.18,29.86,Baja,En riesgo
150,Eric,2475.26,27.38,Baja,En riesgo
151,Juan Manuel,4678.93,18.17,Media,Saludable
152,Emilio,2338.47,25.34,Media,En observacion
153,Jose Manuel,2007.13,26.39,Baja,En riesgo
154,Marcela,3213.08,21.78,Baja,En observacion
155,Chelo,4949.78,17.5,Baja,En observacion
156,Bárbara,2347.19,25.24,Media,En observacion
157,Juan José,3852.47,18.79,Baja,En observacion
158,Margarita,4165.67,18.71,Media,Saludable
159,Daniela,2331.73,24.88,Media,En observacion
160,Tiburcio,4048.76,18.9,Media,Saludable
161,Tomasa,2787.24,23.09,Media,En observacion
162,Dalila,3713.07,20.48,Media,Saludable
163,Sabas,3717.35,19.61,Baja,En observacion
164,Porfirio,3375.21,21.56,Media,Saludable
165,Isidoro,1816.01,27.37,Media,En riesgo
166,Emiliano,4423.56,20.72,Media,Saludable
167,Araceli,2622.73,22.08,Media,En observacion
168,Ana,2152.81,25.53,Media,En observacion
169,Ciriaco,1642.71,30.5,Baja,En riesgo
170,Marisol,3568.13,20.76,Media,Saludable
171,Asdrubal,3871.48,18.79,Media,Saludable
172,Rosalinda,1558.06,30.52,Media,En riesgo
173,Damián,3292.33,21.08,Media,Saludable
174,Ezequiel,2292.74,23.67,Media,En observacion
175,Eulalia,3758.1,20.18,Media,Saludable
176,Feliciano,2110.28,26.14,Media,En riesgo
177,Mónica,3918.28,22.06,Media,En observacion
178,Irma,2853.57,24.24,Baja,En observacion
179,Telmo,4778.55,18.56,Media,Saludable
180,Débora,1981.32,28.5,Media,En riesgo
181,Bernardo,2693.73,23.29,Baja,En observacion
182,Rogelio,1897.16,27.59,Media,En riesgo
183,Rico,4736.43,19.13,Media,Saludable
184,Débora,4570.69,19.59,Media,Saludable
185,Adelina,2402.8,24.3,Media,En observacion
186,Benigna,3809.94,21.22,Media,Saludable
187,José,4360.28,18.2,Baja,En observacion
188,Carolina,3443.2,20.19,Baja,En observacion
189,Rosalinda,3353.78,22.54,Media,En observacion
190,Aitor,2346.48,25.93,Media,En observacion
191,Irma,1825.86,28.93,Baja,En riesgo
192,Lorena,4640.26,17.8,Media,Saludable
193,Darío,4651.46,19.09,Media,Saludable
194,Isabel,3715.86,20.61,Media,Saludable
195,Sonia,2686.6,23.9,Baja,En observacion
196,Brunilda,2722.23,25.91,Media,En observacion
197,Maricela,4040.84,19.56,Media,Saludable
198,Juanito,4639.89,17.77,Media,Saludable
199,María José,4604.8,18.2,Baja,En observacion
200,Felipa,4229.56,21.11,Media,Saludable
201,Noé,3747.11,20.89,Media,Saludable
202,Dani,1794.49,28.04,Media,En riesgo
203,Lázaro,2065.7,26.71,Media,En riesgo
204,Trinidad,4644.94,18.62,Baja,En observacion
205,Fausto,3622.5,18.5,Media,Saludable
206,Wilfredo,1532.19,29.81,Media,En riesgo
207,Abraham,1855.15,29.64,Media,En riesgo
208,Lorenza,3822.26,21.07,Media,Saludable
209,Sara,1517.72,30.08,Media,En riesgo
210,Loida,2062.83,26.27,Media,En riesgo
211,Juan José,3420.57,20.14,Baja,En observacion
212,Angelita,3921.63,20.5,Baja,En observacion
213,María Belén,3781.86,21.88,Media,Saludable
214,Gaspar,2284.94,23.0,Media,En observacion
215,Anunciación,3992.63,19.61,Media,Saludable
216,Ximena,2330.37,25.49,Media,En observacion
217,Curro,2638.9,23.47,Media,En observacion
218,Sabina,4112.72,19.14,Media,Saludable
219,Eufemia,3773.72,20.02,Media,Saludable
220,Marc,4472.28,20.26,Media,Saludable
221,Prudencia,3801.65,19.13,Baja,En observacion
222,Feliciana,3489.08,21.88,Baja,En observacion
223,Anunciación,1827.86,28.73,Baja,En riesgo
224,Emelina,2787.01,24.47,Baja,En observacion
225,Heliodoro,2428.21,24.22,Baja,En observacion
226,Ezequiel,2353.96,24.1,Media,En observacion
227,Raúl,4905.54,19.12,Media,Saludable
228,María Belén,2875.84,22.07,Baja,En observacion
229,Felix,4622.16,18.38,Media,Saludable
230,Calista,3708.99,20.61,Media,Saludable
231,Melania,4281.84,20.2,Baja,En observacion
232,Ágata,3259.23,21.31,Baja,En observacion
233,Bernarda,3519.16,21.57,Baja,En observacion
234,Zaida,3223.81,21.71,Media,Saludable
235,Aarón,2183.35,25.92,Media,En observacion
236,Elena,4028.58,19.55,Baja,En observacion
237,Moisés,2482.7,23.0,Baja,En observacion
238,Amaya,1585.11,30.73,Baja,En riesgo
239,Alejo,3759.15,19.76,Media,Saludable
240,Dani,2119.89,26.9,Baja,En riesgo
241,Úrsula,4791.61,19.15,Baja,En observacion
242,Primitivo,4838.75,18.34,Media,Saludable
243,Selena,4702.03,18.96,Media,Saludable
244,Paz,2795.56,23.66,Media,En observacion
245,Noemí,1554.1,31.92,Media,En riesgo
246,Marino,4749.11,18.0,Baja,En observacion
247,Jose,2998.64,22.91,Baja,En observacion
248,Bautista,4883.29,18.81,Baja,En observacion
249,Jose Angel,4872.67,19.06,Media,Saludable
250,Selena,4485.53,18.72,Media,Saludable
251,Claudia,2530.57,23.0,Baja,En observacion
252,Cayetano,2847.84,21.74,Baja,En observacion
253,Che,4478.98,19.75,Media,Saludable
254,Lupita,2609.23,22.41,Media,En observacion
255,Amalia,2093.22,25.84,Media,En observacion
256,Olalla,3448.8,21.62,Media,Saludable
257,Bruno,4776.54,18.95,Media,Saludable
258,Martirio,3936.1,19.73,Baja,En observacion
259,Berta,3495.21,20.48,Media,Saludable
260,María Dolores,1840.12,28.5,Baja,En riesgo
261,Edgardo,3652.53,21.36,Media,Saludable
262,Eduardo,4965.19,17.6,Media,Saludable
263,Georgina,1990.29,25.26,Media,En observacion
264,Aitana,3314.15,21.76,Baja,En observacion
265,Carmela,4570.81,19.51,Baja,En observacion
266,Fito,4092.69,18.55,Media,Saludable
267,Juan Manuel,3939.56,22.76,Baja,En observacion
268,Belén,3958.69,20.13,Media,Saludable
269,Salud,2758.22,24.08,Media,En observacion
270,Elvira,2527.57,23.82,Media,En observacion
271,Teo,4332.76,19.24,Media,Saludable
272,Héctor,4335.4,18.63,Baja,En observacion
273,Úrsula,4534.75,18.38,Baja,En observacion
274,Calista,4696.34,20.3,Baja,En observacion
275,Marisol,3289.7,21.04,Media,Saludable
276,Luna,3255.31,21.42,Baja,En observacion
277,Jenny,4294.03,19.58,Media,Saludable
278,Herberto,3774.87,19.81,Baja,En observacion
279,Leyre,3956.88,19.1,Media,Saludable
280,Mateo,4285.27,21.39,Media,Saludable
281,Sabas,4615.02,19.14,Baja,En observacion
282,Hilda,2682.98,23.59,Media,En observacion
283,Florentina,2814.54,24.08,Media,En observacion
284,Raúl,1828.94,30.38,Media,En riesgo
285,Urbano,3523.98,20.32,Media,Saludable
286,Trinidad,1625.8,32.45,Baja,En riesgo
287,Asunción,3129.59,22.39,Media,En observacion
288,Vito,3399.26,19.06,Media,Saludable
289,Dionisio,2502.89,25.66,Media,En observacion
290,Jose Miguel,3567.92,21.85,Media,Saludable
291,Jafet,1606.75,32.12,Media,En riesgo
292,Bernardo,1630.72,31.66,Baja,En riesgo
293,Nilo,4379.1,19.92,Media,Saludable
294,Alfonso,2760.67,23.44,Media,En observacion
295,Dionisia,1944.71,26.97,Baja,En riesgo
296,Casandra,3327.85,20.4,Media,Saludable
297,Jeremías,4194.98,17.91,Baja,En observacion
298,Dionisia,2255.37,25.46,Baja,En observacion
299,Isidro,3680.12,21.37,Media,Saludable
300,Adrián,1798.72,30.15,Baja,En riesgo
301,Calisto,1680.89,31.85,Media,En riesgo
302,Laura,3359.74,22.04,Media,En observacion
303,Evangelina,3392.22,20.82,Baja,En observacion
304,Benigno,3731.0,20.68,Media,Saludable
305,Jenaro,4041.32,20.62,Media,Saludable
306,Borja,4915.48,18.77,Media,Saludable
307,Vicenta,3307.05,22.94,Media,En observacion
308,Amílcar,2630.35,23.22,Media,En observacion
309,Rosalina,4283.15,20.18,Media,Saludable
310,Natalio,2447.91,25.24,Baja,En observacion
311,Calisto,3036.4,23.41,Baja,En observacion
312,Aroa,1774.6,29.29,Baja,En riesgo
313,Jordán,1588.73,33.06,Media,En riesgo
314,León,4869.27,16.23,Baja,En observacion
315,Haydée,4425.93,19.57,Media,Saludable
316,Amalia,3935.91,19.66,Baja,En observacion
317,Iker,2931.34,22.83,Media,En observacion
318,Calista,2106.53,25.74,Media,En observacion
319,Eligio,2047.53,26.88,Baja,En riesgo
320,Loreto,2375.85,24.12,Media,En observacion
321,Sofía,3422.29,22.32,Media,En observacion
322,Concepción,4001.09,18.05,Baja,En observacion
323,Corona,3810.69,19.49,Baja,En observacion
324,Ainara,2479.77,22.4,Media,En observacion
325,Jose Carlos,4842.03,19.12,Media,Saludable
326,Milagros,4082.64,20.03,Baja,En observacion
327,Ainara,3440.24,23.76,Baja,En observacion
328,Noemí,3641.02,19.11,Baja,En observacion
329,Santos,2968.6,22.52,Media,En observacion
330,Goyo,2367.06,25.11,Media,En observacion
331,Ciríaco,2745.9,22.52,Media,En observacion
332,Cleto,4152.46,19.26,Baja,En observacion
333,Genoveva,1550.38,33.66,Media,En riesgo
334,Tomás,1906.25,29.99,Media,En riesgo
335,Paulino,1661.01,30.18,Baja,En riesgo
336,Teo,1642.55,29.94,Media,En riesgo
337,Segismundo,4494.11,19.31,Baja,En observacion
338,Adelia,3962.8,21.69,Media,Saludable
339,Rosario,3159.61,23.22,Baja,En observacion
340,Luisina,1842.42,29.34,Baja,En riesgo
341,Baltasar,3220.66,22.75,Media,En observacion
342,Ignacia,3157.15,21.5,Baja,En observacion
343,Francisca,2106.21,27.26,Baja,En riesgo
344,Flavia,3018.48,22.78,Media,En observacion
345,Clímaco,2894.77,23.59,Media,En observacion
346,Benjamín,3655.48,22.63,Media,En observacion
347,Samuel,3722.83,20.07,Baja,En observacion
348,Luisa,1658.56,29.58,Media,En riesgo
349,Norberto,2811.14,22.79,Media,En observacion
350,Nereida,3690.51,20.52,Baja,En observacion
351,Rosalva,3260.98,19.53,Media,Saludable
352,César,4497.71,19.16,Media,Saludable
353,Jose Ramón,3805.43,19.72,Media,Saludable
354,Gregorio,2070.27,29.15,Baja,En riesgo
355,Goyo,1746.99,29.16,Media,En riesgo
356,Brunilda,3748.47,21.3,Media,Saludable
357,Vidal,1592.79,32.11,Media,En riesgo
358,Enrique,3550.21,17.93,Media,Saludable
359,Telmo,4790.81,19.94,Baja,En observacion
360,Gervasio,3514.16,20.09,Media,Saludable
361,León,2858.59,22.74,Media,En observacion
362,Óscar,3751.51,21.82,Baja,En observacion
363,Josep,3103.89,21.11,Media,Saludable
364,Sandra,3409.66,20.16,Baja,En observacion
365,Águeda,4795.13,20.19,Media,Saludable
366,Carlos,2851.36,22.09,Media,En observacion
367,Venceslás,4864.17,18.19,Media,Saludable
368,Nuria,4668.73,18.49,Media,Saludable
369,Rosalva,2185.27,26.65,Media,En riesgo
370,Roberta,1742.76,30.07,Baja,En riesgo
371,Carmelita,1852.72,30.31,Baja,En riesgo
372,Clímaco,1563.78,32.03,Media,En riesgo
373,Aureliano,1830.55,27.97,Baja,En riesgo
374,Florinda,3890.52,20.97,Media,Saludable
375,Calixta,1749.16,28.12,Media,En riesgo
376,Piedad,2616.41,25.11,Media,En observacion
377,Albino,4457.06,19.26,Media,Saludable
378,Ciro,1581.45,32.83,Media,En riesgo
379,Ángeles,4350.64,16.96,Media,Saludable
380,Marisa,2486.49,25.14,Baja,En observacion
381,Reina,1913.58,29.22,Media,En riesgo
382,Jordi,3938.58,20.7,Media,Saludable
383,Flavio,3701.3,20.85,Media,Saludable
384,Santos,4571.15,19.62,Baja,En observacion
385,Amalia,4072.75,20.28,Media,Saludable
386,Alicia,4312.18,18.9,Media,Saludable
387,Ignacio,2487.12,24.22,Baja,En observacion
388,Rosaura,2121.04,27.9,Media,En riesgo
389,Salvador,4127.15,19.07,Baja,En observacion
390,Vanesa,4323.92,19.11,Media,Saludable
391,Benigno,4966.77,18.04,Baja,En observacion
392,Fidel,2944.16,23.62,Baja,En observacion
393,Reynaldo,2802.06,21.06,Media,Saludable
394,Abilio,4217.45,19.62,Media,Saludable
395,Rosario,2692.81,24.33,Baja,En observacion
396,Juan Manuel,4757.65,17.15,Media,Saludable
397,Ángeles,4504.44,20.64,Media,Saludable
398,Miguela,3001.48,23.64,Baja,En observacion
399,Milagros,4128.05,19.56,Media,Saludable
400,Wálter,4140.9,19.55,Baja,En observacion
401,Lucho,1860.93,27.13,Baja,En riesgo
402,Teo,4658.94,19.03,Media,Saludable
403,Josefina,3268.38,21.54,Media,Saludable
404,Lupe,4392.6,19.09,Media,Saludable
405,Miguela,2620.17,21.98,Media,Saludable
406,Cayetana,4634.33,18.69,Baja,En observacion
407,Gisela,2862.21,22.39,Media,En observacion
408,Lina,1537.93,32.39,Baja,En riesgo
409,Amanda,4668.84,18.8,Baja,En observacion
410,Fabián,1819.5,29.36,Media,En riesgo
411,Goyo,2617.6,24.65,Baja,En observacion
412,Manu,4825.22,19.45,Media,Saludable
413,Isaac,4827.13,17.94,Baja,En observacion
414,Bautista,3507.03,21.91,Baja,En observacion
415,Cruz,3711.43,20.58,Media,Saludable
416,Magdalena,3069.56,23.27,Media,En observacion
417,Candela,2526.24,24.44,Media,En observacion
418,Benjamín,2650.33,23.8,Media,En observacion
419,Mariana,3853.81,20.52,Baja,En observacion
420,Mauricio,4133.31,20.29,Media,Saludable
421,Baudelio,4270.53,17.68,Baja,En observacion
422,Aureliano,4263.66,20.18,Media,Saludable
423,Daniela,1819.22,28.33,Media,En riesgo
424,Albina,3230.47,21.35,Media,Saludable
425,Ani,1701.46,30.92,Media,En riesgo
426,Zaira,3423.35,21.25,Baja,En observacion
427,Reyna,3045.36,21.43,Media,Saludable
428,Bernarda,4606.96,16.77,Baja,En observacion
429,Fausto,2728.2,22.69,Baja,En observacion
430,Baudelio,1909.73,28.16,Media,En riesgo
431,Apolonia,2000.47,26.72,Media,En riesgo
432,Cecilio,4165.29,20.65,Media,Saludable
433,Renata,3663.76,21.21,Media,Saludable
434,Gilberto,1853.93,29.07,Media,En riesgo
435,Bruno,1794.37,32.15,Media,En riesgo
436,Dulce,3953.39,20.14,Baja,En observacion
437,Borja,1754.67,28.94,Media,En riesgo
438,Imelda,4376.51,18.13,Baja,En observacion
439,Rosalva,3971.85,20.89,Media,Saludable
440,Joel,1784.72,31.23,Media,En riesgo
441,Sancho,1796.93,30.02,Media,En riesgo
442,Dimas,4953.24,18.86,Media,Saludable
443,Tania,2809.95,23.34,Media,En observacion
444,Clotilde,2797.25,23.18,Baja,En observacion
445,Jose Manuel,4344.8,19.14,Media,Saludable
446,Cristina,4815.37,19.22,Baja,En observacion
447,Dorotea,4951.0,17.24,Baja,En observacion
448,Aníbal,4136.82,19.86,Media,Saludable
449,Estefanía,2816.91,22.24,Media,En observacion
450,Ceferino,1792.25,29.93,Media,En riesgo
451,Simón,4220.01,18.65,Baja,En observacion
452,Gema,3454.41,19.46,Baja,En observacion
453,Dalila,2984.78,21.71,Media,Saludable
454,Clara,4672.24,18.35,Media,Saludable
455,Azeneth,1889.19,27.33,Baja,En riesgo
456,Maximiano,3224.19,20.49,Baja,En observacion
457,Juan Carlos,1539.74,30.26,Baja,En riesgo
458,Hernando,3140.31,22.47,Media,En observacion
459,Haydée,1697.06,30.08,Media,En riesgo
460,Lilia,1915.86,29.82,Media,En riesgo
461,Mauricio,1911.34,31.2,Baja,En riesgo
462,Jorge,3772.24,20.01,Media,Saludable
463,Juan Manuel,4111.16,19.09,Media,Saludable
464,Ruy,3541.79,22.38,Media,En observacion
465,Eleuterio,4867.6,19.28,Media,Saludable
466,Hilda,2812.05,24.07,Media,En observacion
467,Filomena,2499.99,26.77,Baja,En riesgo
468,Marcelo,4540.1,19.92,Media,Saludable
469,Zacarías,2282.59,25.65,Media,En observacion
470,Maximiano,4871.28,18.56,Media,Saludable
471,Úrsula,1542.54,31.62,Media,En riesgo
472,Maricruz,4894.58,18.15,Media,Saludable
473,Camilo,1651.06,29.94,Baja,En riesgo
474,Agapito,4619.0,19.3,Media,Saludable
475,Álvaro,3346.95,19.49,Baja,En observacion
476,Ester,4975.38,19.82,Media,Saludable
477,Chus,1758.29,30.95,Baja,En riesgo
478,Cornelio,3438.49,21.84,Baja,En observacion
479,Candelario,4892.56,17.09,Media,Saludable
480,Brígida,3330.84,21.91,Media,Saludable
481,Ignacio,3702.9,20.01,Media,Saludable
482,Antonia,3935.12,19.26,Media,Saludable
483,Juan Manuel,3090.89,22.02,Media,En observacion
484,Eligio,3696.45,21.28,Baja,En observacion
485,Paco,3545.1,20.34,Baja,En observacion
486,Socorro,4654.05,20.14,Media,Saludable
487,Bruno,1659.06,33.26,Media,En riesgo
488,Serafina,2483.37,24.69,Media,En observacion
489,Jose Ignacio,4826.44,18.73,Baja,En observacion
490,Rafael,4615.92,20.31,Media,Saludable
491,Lucas,3094.8,21.46,Media,Saludable
492,Fausto,3670.46,22.01,Baja,En observacion
493,Urbano,2470.83,23.66,Media,En observacion
494,Perla,2158.42,25.78,Baja,En observacion
495,Candelaria,3122.94,22.16,Media,En observacion
496,Juliana,2736.73,23.23,Baja,En observacion
497,Marciano,3542.8,20.77,Media,Saludable
498,Emma,1772.07,30.33,Media,En riesgo
499,Noemí,4910.38,18.76,Baja,En observacion
500,Francisca,4951.74,20.16,Media,Saludable
501,Benigna,3943.57,21.33,Baja,En observacion
502,Adán,3376.34,20.91,Baja,En observacion
503,Guadalupe,2583.35,25.66,Media,En observacion
504,Olga,4348.28,16.42,Media,Saludable
505,Casandra,3896.56,19.05,Media,Saludable
506,Marcelino,2069.16,27.53,Media,En riesgo
507,Gracia,4688.25,18.59,Baja,En observacion
508,Cristóbal,4378.88,19.66,Baja,En observacion
509,Selena,4824.3,18.75,Media,Saludable
510,Eloy,4040.02,21.48,Media,Saludable
511,Juan Luis,3646.95,20.7,Media,Saludable
512,David,2963.85,23.91,Media,En observacion
513,Tania,4764.55,17.57,Baja,En observacion
514,Custodio,4531.22,18.73,Media,Saludable
515,Manuelita,1658.27,32.22,Media,En riesgo
516,Carolina,1592.28,31.18,Media,En riesgo
517,Fabricio,2817.62,22.73,Media,En observacion
518,Lalo,4336.94,19.11,Baja,En observacion
519,Lope,4955.47,16.81,Media,Saludable
520,Elodia,2026.46,26.92,Media,En riesgo
521,Humberto,3579.46,18.33,Media,Saludable
522,Liliana,2833.12,22.8,Media,En observacion
523,Olegario,4894.7,18.02,Media,Saludable
524,Herminio,4447.42,20.78,Baja,En observacion
525,Jacinta,4434.15,17.38,Baja,En observacion
526,Fabiana,3140.43,23.76,Baja,En observacion
527,Reyna,2951.87,20.94,Baja,En observacion
528,Juan Luis,2456.92,24.05,Baja,En observacion
529,Anselma,1697.31,29.12,Media,En riesgo
530,Amaya,4526.53,18.31,Media,Saludable
531,José,4345.15,19.24,Media,Saludable
532,Vicenta,4999.01,18.38,Media,Saludable
533,Vilma,4988.23,18.42,Media,Saludable
534,Raquel,3444.01,23.19,Media,En observacion
535,Aurelio,4191.46,18.9,Baja,En observacion
536,Cirino,4806.68,18.48,Baja,En observacion
537,Fabiana,4473.77,21.02,Media,Saludable
538,Teo,2365.72,24.14,Media,En observacion
539,Paula,3076.9,23.6,Baja,En observacion
540,Leonel,1952.06,29.02,Media,En riesgo
541,Arsenio,4839.18,19.65,Media,Saludable
542,Abraham,3621.61,20.72,Media,Saludable
543,Nazario,2300.25,27.14,Baja,En riesgo
544,María Manuela,3850.95,18.04,Media,Saludable
545,Eladio,3663.45,19.91,Media,Saludable
546,Febe,2753.57,23.09,Media,En observacion
547,Juan Francisco,1897.45,28.48,Baja,En riesgo
548,Felix,3850.51,20.75,Baja,En observacion
549,Manuela,3321.08,21.59,Baja,En observacion
550,Vasco,4203.11,20.17,Media,Saludable
551,Carmen,3320.57,22.57,Media,En observacion
552,Julieta,4482.64,17.14,Baja,En observacion
553,Teófilo,3431.67,20.47,Media,Saludable
554,Chelo,3463.28,21.17,Baja,En observacion
555,Agapito,4568.29,18.46,Media,Saludable
556,Dani,2912.19,23.78,Media,En observacion
557,Carlos,1969.05,27.11,Baja,En riesgo
558,Sol,1600.74,31.34,Media,En riesgo
559,Jessica,4142.98,20.61,Baja,En observacion
560,Vera,3671.08,21.17,Media,Saludable
561,Eustaquio,3964.28,20.52,Baja,En observacion
